,0,1,2,3,4,5,6,7,8,9
90,"('camp', 0.23314331952080777)","('summer', 0.0991762759587651)","('kid', 0.06514359261306182)","('kadrina', 0.04973434450510781)","('bellnor', 0.04973434450510781)","('son', 0.04828864246890515)","('july', 0.04459006376465999)","('ti', 0.03990555374610405)","('mme', 0.035073600757901634)","('english', 0.03468066160721414)"
91,"('parking', 0.31195793072629663)","('space', 0.1150282328477354)","('underground', 0.08507055104265372)","('rent', 0.061135801441043185)","('rented', 0.061014389446986776)","('car', 0.055721337842059744)","('renting', 0.05503039797652004)","('keskturg', 0.04576722903786576)","('spot', 0.04344936795740033)","('roofed', 0.034021869815933393)"
92,"('town', 0.3046005199631908)","('paide', 0.1673007732066342)","('grocer', 0.1187882234251234)","('mysterious', 0.1187882234251234)","('mustamaeindoor', 0.1187882234251234)","('burning', 0.1187882234251234)","('cbd', 0.1187882234251234)","('city', 0.11501298527223652)","('pricy', 0.10705528393472359)","('appeared', 0.0953376207835674)"
93,"('wallet', 0.2787754387754659)","('lost', 0.1785359794478603)","('card', 0.11174554490106524)","('debit', 0.09102681517522927)","('black', 0.0891755791046671)","('leather', 0.06919301357302504)","('keskus', 0.0660941962930917)","('document', 0.05221775562261021)","('color', 0.049931889543991574)","('brown', 0.04186588867815151)"
94,"('brit', 0.20734734999399568)","('eu', 0.20033469041755214)","('brexit', 0.1779002091789904)","('british', 0.13949995092500642)","('resident', 0.11817168886010405)","('citizen', 0.10735799747236112)","('country', 0.0904060549320021)","('facebook', 0.08844312280504346)","('living', 0.06909283652514718)","('discus', 0.06715543296497381)"
95,"('key', 0.5308796117721081)","('lost', 0.18567010157743666)","('schnelli', 0.13831769572697894)","('aia', 0.09221179715131929)","('chain', 0.0877970309250199)","('fountain', 0.08559436590838648)","('bus', 0.07848497905618945)","('rc', 0.057446763787559675)","('popell', 0.057446763787559675)","('rpuse', 0.057446763787559675)"
96,"('startup', 0.15368930994927982)","('app', 0.06934554401375495)","('software', 0.06794034716799609)","('subsidy', 0.06391026571501751)","('tester', 0.06080994190519434)","('automation', 0.05840732304726789)","('developer', 0.05741383870086156)","('manual', 0.04994173913667985)","('program', 0.047845305449791244)","('business', 0.042293243686904465)"
97,"('euro', 0.071852090018751)","('pc', 0.061463749876466404)","('cooker', 0.05316569087481399)","('bowl', 0.05014601430050244)","('stuff', 0.04626704313508888)","('condition', 0.04573017335170095)","('string', 0.03925756631888402)","('blanket', 0.03884762403047254)","('iron', 0.034733916316863796)","('moving', 0.030597500960569488)"
98,"('racial', 0.05391495027399164)","('incident', 0.03500264403968588)","('police', 0.031721037231657756)","('offence', 0.031445210524676165)","('attacker', 0.031445210524676165)","('abuse', 0.02777264000218923)","('polite', 0.02625198302976441)","('speech', 0.02294166895312197)","('pamphlet', 0.02239809131967621)","('detained', 0.02239809131967621)"
99,"('inflation', 0.3726806839162951)","('rate', 0.0810279385168451)","('economy', 0.057475448983916225)","('honest', 0.05653075327350538)","('salary', 0.054078541707952676)","('source', 0.054060061187437745)","('increase', 0.04820521797108128)","('sense', 0.04820521797108128)","('noticed', 0.046468147029625165)","('weaker', 0.04521616246504697)"
