,0,1,2,3,4,5,6,7,8,9
32,"('bank', 0.14563176450350793)","('account', 0.13089228989413632)","('swedbank', 0.06460469970637803)","('money', 0.05909391186855095)","('transaction', 0.042518125667350054)","('card', 0.03626400769729763)","('wise', 0.03564891058885213)","('payment', 0.032732799621934636)","('paypal', 0.027632031599649318)","('fintech', 0.027078610024284206)"
33,"('lasnam', 0.2948425441829077)","('park', 0.12735483586083612)","('tondiraba', 0.10745578094058887)","('breakfast', 0.04576901575834727)","('pae', 0.045382738479041)","('skating', 0.04168731171752828)","('paasiku', 0.03879254914641708)","('advent', 0.03725984401291227)","('tark', 0.03725984401291227)","('tondiloo', 0.03600866427870052)"
34,"('internet', 0.1061549154053698)","('sim', 0.09821389139057884)","('telia', 0.08392220592656938)","('elisa', 0.07549741180090691)","('phone', 0.05783840258696542)","('mobile', 0.0506098067979345)","('roaming', 0.04562748360180933)","('prepaid', 0.04562748360180933)","('data', 0.045242093675461406)","('provider', 0.04519211900525391)"
35,"('covid', 0.11007030623980343)","('vaccine', 0.10784696170803161)","('vaccination', 0.09711335557926057)","('booster', 0.07720058817086639)","('certificate', 0.06874692824133238)","('vaccinated', 0.06540891771297368)","('shot', 0.043707958134528664)","('dos', 0.039667234815508656)","('qr', 0.039667234815508656)","('eu', 0.0357881810619841)"
36,"('snow', 0.07066695257611179)","('weather', 0.06311938014977049)","('winter', 0.04031384701501162)","('ice', 0.038093730482023726)","('shade', 0.036592096214839095)","('aurora', 0.036592096214839095)","('melting', 0.029256375714109814)","('park', 0.029166326353508274)","('pretty', 0.028337839508373174)","('slowly', 0.028273951193564482)"
37,"('scooter', 0.08832361384704135)","('tire', 0.07078941103957712)","('bike', 0.06297797358304139)","('bicycle', 0.04591775513521687)","('rim', 0.032902485397304726)","('maintenanced', 0.029006979557842084)","('romet', 0.024999642783246564)","('winter', 0.022559465905370137)","('wheel', 0.022387811339358497)","('wheeled', 0.02193499026486982)"
38,"('salsa', 0.17314260285758654)","('bachata', 0.1311482293816183)","('latinamerican', 0.12435742777560495)","('lesson', 0.11385691817043539)","('dancing', 0.11237360373047767)","('combination', 0.10682479150628894)","('latintime', 0.10493229271643278)","('atmosphere', 0.09621209735021907)","('special', 0.08451108532217867)","('teacher', 0.07702936991599277)"
39,"('restaurant', 0.13236112373352726)","('cuisine', 0.06846189974065886)","('dining', 0.05414354192404056)","('food', 0.053208566712164715)","('thai', 0.04782205869713132)","('burger', 0.04535334760555556)","('eat', 0.040802192064421726)","('african', 0.038673958517171834)","('culinary', 0.03671863092322434)","('tallinn', 0.029092542471502232)"
40,"('exchange', 0.13846730477784383)","('euro', 0.12058458009456004)","('currency', 0.07435370017192702)","('cash', 0.06976083294227738)","('rouble', 0.05594668370951848)","('ruble', 0.05594668370951848)","('rate', 0.049524173778040186)","('coin', 0.046706998198066646)","('selling', 0.04088918969090693)","('albanian', 0.03985023187475515)"
41,"('language', 0.1570067519321028)","('meetspeaker', 0.10992090914292714)","('partner', 0.09922425832735488)","('exchange', 0.08849624115842036)","('native', 0.06437453727441766)","('spanish', 0.048187398159078666)","('polyglot', 0.04678545089974529)","('speaker', 0.039860574940470093)","('tutor', 0.03807010809913759)","('german', 0.037993564126845424)"
42,"('art', 0.14428481434885457)","('club', 0.12700043006214967)","('material', 0.08429533890812407)","('workshop', 0.0808989725839236)","('drawing', 0.075518876001273)","('adult', 0.07198124582999878)","('watercolour', 0.0680741077185615)","('tutorial', 0.05471459662925586)","('sunday', 0.05034533393095349)","('registration', 0.04983399582579594)"
43,"('event', 0.07864669697838943)","('game', 0.057540036815536814)","('fun', 0.0454835373993859)","('thorgate', 0.03926645463337156)","('kat', 0.036448560700953404)","('video', 0.03094790070799714)","('exhibition', 0.026454496430739462)","('registration', 0.02522139404795955)","('narva', 0.024317176124950282)","('casual', 0.02373557669780733)"
44,"('insurance', 0.21188608551591634)","('health', 0.07554372737558275)","('ergo', 0.06997246011890829)","('private', 0.058870691804442266)","('doctor', 0.04572565256793598)","('cover', 0.04493589181029379)","('haigekassa', 0.03801568318067858)","('practitioner', 0.029203389405891768)","('recommend', 0.027039125658341306)","('travel', 0.02689002435070857)"
45,"('yoga', 0.22972158508961288)","('class', 0.08300090310881825)","('mat', 0.04174633711495234)","('birth', 0.03890878478433074)","('blissfulfix', 0.034406960925282205)","('yogi', 0.029217625594592022)","('workout', 0.028421968785416345)","('meditation', 0.028250564065665)","('studio', 0.02682796023503013)","('teacher', 0.024633584461159264)"
46,"('chair', 0.15799639207941973)","('table', 0.12769670073989237)","('eur', 0.07597915371614888)","('office', 0.06035135238066291)","('ikea', 0.05824054463521279)","('selling', 0.053783705941981313)","('desk', 0.0530972155941208)","('drawer', 0.05079099648905223)","('dimension', 0.04890067003008478)","('lamp', 0.04650503393475683)"
47,"('wine', 0.144494886202272)","('bar', 0.07914462820780582)","('party', 0.05435247734504735)","('leary', 0.053316773708345755)","('cocktail', 0.04897378195310756)","('drink', 0.044041789198043246)","('beer', 0.04266921083881457)","('hata', 0.0371179359270965)","('toro', 0.03508558869380835)","('alcohol', 0.0335120231580581)"
48,"('clothes', 0.20461583006979137)","('donate', 0.1517984552859147)","('shirt', 0.062256781156677196)","('sewing', 0.05169560713278787)","('collecting', 0.040398119319675206)","('underwear', 0.03902111933095128)","('clothing', 0.038129046869323925)","('wear', 0.03597218364607275)","('thermal', 0.03566123684404145)","('fabric', 0.03446373808852525)"
49,"('video', 0.12005714886364005)","('youtube', 0.06922401402713481)","('subtitle', 0.05118543075091465)","('episode', 0.03380610159583009)","('estonia', 0.033347761383168834)","('topic', 0.03270291622462001)","('life', 0.03191412763490158)","('link', 0.031398165247261314)","('podcast', 0.03046156057944357)","('mistake', 0.029248817571951226)"
50,"('tea', 0.1880295960286849)","('kopli', 0.1383475718604235)","('tour', 0.08188493878830708)","('hidden', 0.07344730596469537)","('friend', 0.06102599741224753)","('chance', 0.05858547594608555)","('sweet', 0.05750954801720258)","('volta', 0.05306527949274034)","('menstrual', 0.05306527949274034)","('history', 0.052156094440334734)"
51,"('seminar', 0.12670216971787862)","('mental', 0.09497349617401528)","('parent', 0.07858288091936873)","('child', 0.07662577148780896)","('health', 0.07106569587978404)","('topic', 0.05295244515477535)","('aimed', 0.05155608732611096)","('sign', 0.05076011180581742)","('kindergarden', 0.04751254992895513)","('therapy', 0.04520892246546242)"
52,"('tattoo', 0.31023420086122494)","('design', 0.11482423349680833)","('karinkirsi', 0.06526570400514468)","('insta', 0.05892530738625217)","('peole', 0.05627788939450291)","('tattooist', 0.05627788939450291)","('personalised', 0.05141013343328863)","('artist', 0.05010872151272653)","('handpoke', 0.04687433021858731)","('avaliable', 0.04502231151560233)"
53,"('wood', 0.14638615453050072)","('furniture', 0.09159370590620719)","('cubic', 0.06910815776343293)","('cut', 0.06646080271195147)","('fitting', 0.06180494299701481)","('metal', 0.060004147266485675)","('drill', 0.05876204686769524)","('carpenter', 0.055286526210746346)","('meter', 0.051504947039788064)","('floor', 0.04973963482845356)"
54,"('independence', 0.08120774867925183)","('flag', 0.057006172621133853)","('day', 0.05100564301947269)","('tower', 0.050612949539417904)","('midsummer', 0.05040259250157959)","('celebrate', 0.045204368972334104)","('eva', 0.03793719790193473)","('restoration', 0.03710271702074761)","('hermann', 0.03710271702074761)","('happy', 0.03701855300458016)"
55,"('watch', 0.18167423645902142)","('bar', 0.1210109895061379)","('final', 0.11017579975467706)","('match', 0.094751198367071)","('fan', 0.07915314462157964)","('cup', 0.07761766502066976)","('supporter', 0.07567038145524022)","('stream', 0.07567038145524022)","('watching', 0.07052005826320389)","('league', 0.0645557579167175)"
56,"('casting', 0.09208717312404258)","('role', 0.07414820837479226)","('shoot', 0.05761879480306142)","('shooting', 0.049678995646126)","('paid', 0.04327020122055548)","('gorodenkoff', 0.042971965277120994)","('candidate', 0.041269946451354296)","('photo', 0.041210405075751626)","('illustrative', 0.039531805458850586)","('suitable', 0.03856693050859936)"
57,"('bachata', 0.14740886518002513)","('dance', 0.12392738475755315)","('class', 0.08583428830454456)","('studio', 0.07912115304297533)","('instructor', 0.07506402939688614)","('beginner', 0.07113678569257613)","('forr', 0.06529485328823867)","('tango', 0.05372443808221076)","('bollywood', 0.04612417244179837)","('sensual', 0.03975208216417298)"
58,"('sony', 0.07423466029581635)","('lens', 0.06935982859009517)","('camera', 0.05707971319337413)","('headphone', 0.052784739502369483)","('airpods', 0.05233740439678363)","('tripod', 0.04361450366398635)","('mount', 0.03975568735062724)","('nikon', 0.03317375451394843)","('photography', 0.03184526463728745)","('battery', 0.03184526463728745)"
59,"('breathwork', 0.0929997169524015)","('meditation', 0.09035218821264714)","('yoga', 0.02869943787377779)","('mind', 0.024200057992741164)","('session', 0.023812242375974423)","('mantra', 0.023721964355092336)","('emotional', 0.02367197455097108)","('monk', 0.021156916984197627)","('spiritual', 0.021156916984197627)","('practice', 0.021093470823115107)"
60,"('flight', 0.1926590289978757)","('airport', 0.09323978714408399)","('helsinki', 0.05055996302591506)","('fare', 0.04845655392327147)","('delhi', 0.04845655392327147)","('ryanair', 0.038639545827050606)","('bali', 0.03451509154179613)","('fly', 0.03344434468268193)","('kiwi', 0.03230436928218098)","('charter', 0.03230436928218098)"
61,"('scam', 0.13782647047290353)","('email', 0.04751253923313045)","('careful', 0.046887866276352705)","('money', 0.04613922821407228)","('scammed', 0.045496230584187614)","('lhv', 0.03435966358978691)","('product', 0.03318483668899623)","('debt', 0.03297635570786258)","('scammer', 0.03297635570786258)","('stolen', 0.03209344915232156)"
62,"('sale', 0.17777100634247378)","('sell', 0.11541182351491658)","('selling', 0.10501517583810473)","('insta', 0.09820884564375361)","('product', 0.08209790326704797)","('sterling', 0.07300526231335708)","('necklace', 0.07300526231335708)","('inline', 0.07300526231335708)","('hreat', 0.07300526231335708)","('bylady', 0.07300526231335708)"
63,"('canoe', 0.1079841768788729)","('nature', 0.08401695780625275)","('spring', 0.07706476386330105)","('fishing', 0.07618625601454826)","('trip', 0.05769839831600906)","('hike', 0.053104647014505055)","('sauna', 0.044954445586925615)","('purest', 0.04365799904543256)","('boat', 0.04292310808921595)","('season', 0.04217083089030232)"
64,"('dentist', 0.33878900345400914)","('dental', 0.22484831668837052)","('tooth', 0.15697361628445353)","('clinic', 0.11253245060961696)","('orthodontist', 0.09955609957930046)","('speaking', 0.06044034635734578)","('recommend', 0.05459271255708468)","('recommendation', 0.053216775734873926)","('extraction', 0.05231592547468247)","('wisdom', 0.04620580814523518)"
65,"('fine', 0.05161204605783446)","('pedestrian', 0.05145183071832704)","('car', 0.04578120070707302)","('police', 0.04540777918440349)","('lkf', 0.04501294095410497)","('stopped', 0.04447851145884941)","('road', 0.039845591592991725)","('inspection', 0.03858887303874529)","('speed', 0.03235574391496735)","('insisted', 0.03206224239669386)"
66,"('school', 0.07276993733351668)","('child', 0.05582298662743054)","('kid', 0.04761047870923642)","('german', 0.04751087625622952)","('parent', 0.038960967963564845)","('bilingual', 0.03361505752727376)","('tech', 0.031017587379512785)","('language', 0.029995874108542302)","('grade', 0.027607236275754295)","('education', 0.026171923993513542)"
67,"('plumber', 0.1040474296556341)","('renovation', 0.09138796916994586)","('kitchen', 0.07821787612106337)","('window', 0.06102967885794589)","('contractor', 0.053141089002022426)","('plumbing', 0.0485446505861873)","('handyman', 0.044591755566700336)","('mechanism', 0.04141810985015536)","('recommend', 0.04045230504229881)","('bathroom', 0.040447970420732046)"
68,"('painting', 0.23136829016785324)","('unframed', 0.0646542485773618)","('oil', 0.05913135306158157)","('painted', 0.05672842309880125)","('leftover', 0.05538491773736793)","('etsy', 0.05538491773736793)","('intention', 0.054184190700001994)","('negotiate', 0.05119939420981043)","('larger', 0.049575100726286556)","('purchased', 0.04631960966763827)"
69,"('coffee', 0.3262098166092135)","('kimono', 0.04749068986577963)","('kohvi', 0.04749068986577963)","('decaf', 0.04749068986577963)","('ndikakaokohv', 0.04749068986577963)","('piparm', 0.04749068986577963)","('caffeine', 0.04749068986577963)","('starbucks', 0.044448869012324206)","('rgi', 0.04062163445016751)","('bean', 0.03810530320116702)"
70,"('spanish', 0.13213055613152774)","('hispaania', 0.06271779363857748)","('club', 0.061444986182888565)","('english', 0.060842169702506006)","('learner', 0.05787973385166378)","('native', 0.0539354231218094)","('speaker', 0.0534347166769545)","('basque', 0.053258554762514586)","('practice', 0.050492891681308195)","('meet', 0.044362502732460424)"
